WallName,WallGlobalId,Name,GUID,Length,Width,Start_Point,Mid_Point,End_Point,Building_Storey
Basic Wall:STB 380:2456734,2Uyn6q91TFx8F8jizB55MJ,Basic Wall:STB 380:2456734,1fbci1MJPFc9hXazt$kSn3,2.1579999999999946,0.3800000000009705,"[51.71032999891076, 25.169999999964684, 1.1999999999999948]","[52.78932999891076, 25.169999999964684, 1.1999999999999948]","[53.86832999891075, 25.169999999964684, 1.1999999999999948]",
Basic Wall:STB 380:2456734,2Uyn6q91TFx8F8jizB55MJ,Basic Wall:STB 380:2456734,1fbci1MJPFc9hXazt$kSkN,2.1579999999999946,0.3800000000009662,"[48.062329998910755, 25.169999999964695, 1.1999999999999948]","[49.14132999891075, 25.169999999964695, 1.1999999999999948]","[50.22032999891075, 25.169999999964695, 1.1999999999999948]",
Basic Wall:STB 380:2456734,2Uyn6q91TFx8F8jizB55MJ,Basic Wall:STB 380:2456734,1fbci1MJPFc9hXazt$kSiR,2.1579999999999946,0.3800000000009705,"[44.425000000022386, 25.16999999996471, 1.1999999999999948]","[45.50400000002239, 25.16999999996471, 1.1999999999999948]","[46.58300000002238, 25.16999999996471, 1.1999999999999948]",
Basic Wall:STB 380:2456734,2Uyn6q91TFx8F8jizB55MJ,Basic Wall:STB 380:2456734,1fbci1MJPFc9hXazt$kSgx,2.1579999999999946,0.3800000000009705,"[40.77700000002238, 25.16999999996472, 1.1999999999999948]","[41.85600000002238, 25.16999999996472, 1.1999999999999948]","[42.93500000002238, 25.16999999996472, 1.1999999999999948]",
Basic Wall:STB 380:2456734,2Uyn6q91TFx8F8jizB55MJ,Basic Wall:STB 380:2456734,1fbci1MJPFc9hXazt$kSf$,2.1579999999999946,0.3800000000009662,"[37.14500000002243, 25.16999999996473, 1.1999999999999948]","[38.22400000002243, 25.16999999996473, 1.1999999999999948]","[39.30300000002242, 25.16999999996473, 1.1999999999999948]",
Basic Wall:STB 380:2456734,2Uyn6q91TFx8F8jizB55MJ,Basic Wall:STB 380:2456734,1fbci1MJPFc9hXazt$kSel,2.15799999999999,0.3800000000009705,"[33.502000000022434, 25.16999999996474, 1.1999999999999948]","[34.58100000002243, 25.16999999996474, 1.1999999999999948]","[35.66000000002242, 25.16999999996474, 1.1999999999999948]",
Basic Wall:STB 380:2456734,2Uyn6q91TFx8F8jizB55MJ,Basic Wall:STB 380:2456734,1fbci1MJPFc9hXazt$kSdH,2.1579999999999946,0.3800000000009705,"[29.864000000022436, 25.169999999964755, 1.1999999999999948]","[30.943000000022433, 25.169999999964755, 1.1999999999999948]","[32.02200000002243, 25.169999999964755, 1.1999999999999948]",
Basic Wall:STB 380:2456734,2Uyn6q91TFx8F8jizB55MJ,Basic Wall:STB 380:2456734,1fbci1MJPFc9hXazt$kSc1,2.1579999999999857,0.3800000000009662,"[26.220000000823855, 25.169999999964762, 1.1999999999999948]","[27.29900000082385, 25.169999999964762, 1.1999999999999948]","[28.378000000823842, 25.169999999964762, 1.1999999999999948]",
Basic Wall:STB 380:2456734,2Uyn6q91TFx8F8jizB55MJ,Basic Wall:STB 380:2456734,1fbci1MJPFc9hXazt$kSax,2.1579999999999924,0.3800000000009705,"[18.942000000000004, 25.16999999996479, 1.1999999999999948]","[20.021, 25.16999999996479, 1.1999999999999948]","[21.099999999999994, 25.16999999996479, 1.1999999999999948]",
Basic Wall:STB 380:2456734,2Uyn6q91TFx8F8jizB55MJ,Basic Wall:STB 380:2456734,1fbci1MJPFc9hXazt$kSYX,2.15799999999999,0.3800000000009705,"[22.582000000823857, 25.169999999964777, 1.1999999999999948]","[23.661000000823854, 25.169999999964777, 1.1999999999999948]","[24.740000000823848, 25.169999999964777, 1.1999999999999948]",
Basic Wall:STB 380:2456734,2Uyn6q91TFx8F8jizB55MJ,Basic Wall:STB 380:2456734,1fbci1MJPFc9hXazt$kSU0,2.15799999999999,0.3800000000009662,"[15.300000000000008, 25.169999999964798, 1.1999999999999948]","[16.379000000000005, 25.169999999964798, 1.1999999999999948]","[17.458, 25.169999999964798, 1.1999999999999948]",
